date,home,away,home_ml,away_ml,home_spread
12/08/2025,Indiana Pacers,Sacramento Kings,-169,+143,-3.5
12/08/2025,Minnesota Timberwolves,Pheonix Suns,-350,+280,-7.5
12/08/2025,New orleans Pelicans,San antonio Spurs,+350,-441,+9.5
