date,home,away,home_ml,away_ml,home_spread
date,home,away,home_ml,away_ml,home_spread
12/11/2025,Houston Rockets,Los Angeles Clippers,-410,+320,-9.5
12/11/2025,Milwaukee Bucks,Boston Celtics,+313,-402,+9.0
12/11/2025,New Orleans Pelicans,Portland Trail Blazers,+156,-187,+4.5
12/11/2025,Sacramento Kings,Denver Nuggets,+354,-461,+9.5
