date,home,away,home_ml,away_ml,home_spread
12/12/2025,Charlotte Hornets,Chicago Bulls,+114,-135,+2.5
12/12/2025,Detroit Pistons,Atlanta Hawks,-245,+200,-6.5
12/12/2025,Philadelphia 76ers,Indiana Pacers,-285,+230,-7.5
12/12/2025,Washington Wizards,Cleveland Cavaliers,+650,-1000,+14.5
12/12/2025,Memphis Grizzlies,Utah Jazz,-230,+190,-6.5
12/12/2025,Dallas Mavericks,Brooklyn Nets,-285,+230,-7.5
12/12/2025,Golden State Warriors,Minnesota Timberwolves,-162,+136,-4.5
