date,home,away,home_ml,away_ml,home_spread
12/15/2025,Boston Celtics,Detroit Pistons,-240,+195,-6
12/15/2025,Miami Heat,Toronto Raptors,-240,+198,-6
12/15/2025,Utah Jazz,Dallas Mavericks,+114,-120,+2.5
12/15/2025,Denver Nuggets,Houston Rockets,-117,+102,-1.5
12/15/2025,Los Angeles Clippers,Memphis Grizzlies,-150,+130,-3
